Element, Class
1,195
2,195
3,459
4,583
5,195
6,467
7,583
8,799
9,459
10,583
11,799
12,799
13,459
14,592
15,799
16,195
17,459
18,459
19,592
20,467
21,799
22,467
23,799
24,467
25,195
26,467
27,799
28,195
29,195
30,467
31,195
32,467
33,592
34,583
35,467
36,459
37,799
38,459
39,459
40,592
41,459
42,195
43,592
44,195
45,467
46,459
47,195
48,467
49,592
50,592
51,583
52,583
53,592
54,583
55,592
56,592
57,583
58,583
59,583
60,592
61,592
62,195
63,583
64,799
65,583
66,459
67,799
68,459
69,799
70,467
71,799
72,467
73,799
74,459
75,459
76,195
77,467
78,195
79,467
80,467
81,583
82,583
83,195
84,195
85,195
86,592
87,459
88,583
89,195
90,799
91,459
92,459
93,459
94,467
95,799
96,583
97,799
98,467
99,583
100,459
101,195
102,459
103,592
104,195
105,592
106,799
107,459
108,467
109,592
110,583
111,799
112,195
113,799
114,467
115,799
116,592
117,459
118,799
119,799
120,799
121,459
122,195
123,583
124,592
125,195
126,592
127,459
128,799
129,195
130,467
131,592
132,583
133,799
134,195
135,583
136,459
137,467
138,459
139,467
140,195
141,799
142,583
143,195
144,592
145,467
146,195
147,592
148,799
149,799
150,592
151,583
152,459
153,195
154,583
155,467
156,459
157,592
158,799
159,592
160,592
161,467
162,467
163,467
164,799
165,592
166,195
167,459
168,799
169,592
170,592
171,467
172,583
173,592
174,583
175,592
176,583
177,459
178,592
179,467
180,195
181,467
182,799
183,459
184,195
185,195
186,467
187,467
188,799
189,195
190,459
191,459
192,583
193,583
194,799
195,195
196,459
197,799
198,195
199,195
200,459
201,799
202,459
203,583
204,799
205,583
206,459
207,592
208,467
209,467
210,592
211,799
212,195
213,583
214,195
215,459
216,799
217,459
218,195
219,799
220,195
221,195
222,459
223,799
224,592
225,459
226,799
227,799
228,195
229,195
230,467
231,467
232,467
233,592
234,459
235,195
236,583
237,583
238,592
239,195
240,467
241,583
242,799
243,467
244,583
245,459
246,799
247,467
248,583
249,799
250,592
251,459
252,799
253,467
254,592
255,583
256,459
257,799
258,467
259,459
260,459
261,592
262,195
263,459
264,195
265,592
266,459
267,195
268,583
269,592
270,583
271,583
272,592
273,467
274,467
275,459
276,195
277,467
278,459
279,592
280,592
281,799
282,195
283,467
284,799
285,799
286,467
287,459
288,592
289,195
290,799
291,799
292,467
293,799
294,467
295,459
296,592
297,583
298,467
299,459
300,459
301,459
302,592
303,583
304,583
305,467
306,195
307,195
308,799
309,467
310,195
311,592
312,799
313,799
314,592
315,583
316,799
317,592
318,799
319,459
320,592
321,799
322,799
323,592
324,467
325,459
326,459
327,592
328,467
329,583
330,583
331,459
332,583
333,592
334,459
335,467
336,459
337,195
338,195
339,799
340,195
341,467
342,799
343,592
344,459
345,583
346,592
347,459
348,592
349,459
350,459
351,592
352,799
353,459
354,459
355,592
356,459
357,799
358,467
359,799
360,799
361,459
362,459
363,592
364,592
365,459
366,583
367,467
368,583
369,467
370,799
371,459
372,459
373,195
374,459
375,583
376,195
377,799
378,592
379,467
380,799
381,467
382,799
383,195
384,467
385,459
386,467
387,467
388,195
389,467
390,583
391,195
392,459
393,583
394,467
395,459
396,799
397,592
398,592
399,583
400,799
401,583
402,799
403,467
404,799
405,459
406,195
407,195
408,592
409,195
410,583
411,195
412,592
413,583
414,467
415,592
416,592
417,195
418,467
419,592
420,799
421,195
422,592
423,467
424,459
425,583
426,467
427,195
428,467
429,583
430,799
431,195
432,459
433,592
434,592
435,583
436,467
437,592
438,195
439,799
440,592
441,592
442,592
443,592
444,583
445,459
446,592
447,799
448,467
449,592
450,583
451,459
452,467
453,467
454,799
455,799
456,799
457,467
458,467
459,459
460,195
461,467
462,459
463,467
464,195
465,195
466,467
467,467
468,592
469,459
470,195
471,195
472,583
473,592
474,799
475,467
476,195
477,467
478,799
479,592
480,592
481,467
482,799
483,583
484,799
485,799
486,467
487,583
488,583
489,799
490,467
491,583
492,583
493,592
494,799
495,195
496,459
497,195
498,799
499,459
500,195
501,467
502,459
503,799
504,195
505,467
506,592
507,467
508,467
509,195
510,592
511,583
512,195
513,799
514,467
515,799
516,799
517,799
518,592
519,195
520,195
521,195
522,592
523,195
524,592
525,799
526,592
527,583
528,583
529,459
530,467
531,195
532,459
533,467
534,592
535,195
536,459
537,583
538,459
539,459
540,592
541,467
542,583
543,583
544,467
545,799
546,583
547,799
548,799
549,799
550,459
551,467
552,799
553,467
554,195
555,583
556,195
557,467
558,467
559,583
560,583
561,467
562,467
563,459
564,592
565,195
566,592
567,459
568,195
569,583
570,592
571,592
572,467
573,459
574,592
575,459
576,799
577,195
578,467
579,467
580,583
581,592
582,799
583,583
584,583
585,592
586,583
587,799
588,459
589,799
590,583
591,459
592,592
593,195
594,195
595,459
596,467
597,459
598,592
599,583
600,459
601,592
602,592
603,195
604,799
605,195
606,583
607,195
608,592
609,459
610,459
611,583
612,459
613,459
614,459
615,592
616,592
617,467
618,799
619,799
620,195
621,592
622,467
623,467
624,592
625,583
626,583
627,799
628,592
629,799
630,195
631,467
632,583
633,459
634,467
635,459
636,592
637,459
638,799
639,459
640,592
641,459
642,583
643,467
644,583
645,592
646,459
647,459
648,592
649,799
650,459
651,583
652,467
653,467
654,592
655,799
656,467
657,583
658,195
659,799
660,592
661,195
662,583
663,583
664,459
665,583
666,583
667,467
668,467
669,459
670,799
671,467
672,459
673,467
674,195
675,467
676,195
677,467
678,592
679,459
680,592
681,583
682,459
683,799
684,799
685,467
686,592
687,583
688,799
689,459
690,799
691,583
692,467
693,799
694,195
695,583
696,467
697,799
698,467
699,583
700,467
701,467
702,195
703,195
704,799
705,467
706,583
707,799
708,583
709,459
710,195
711,592
712,467
713,583
714,583
715,799
716,583
717,459
718,592
719,592
720,459
721,195
722,467
723,195
724,592
725,467
726,195
727,583
728,195
729,467
730,592
731,799
732,459
733,467
734,583
735,799
736,467
737,583
738,459
739,583
740,459
741,583
742,583
743,195
744,583
745,799
746,799
747,799
748,592
749,592
750,799
751,592
752,592
753,592
754,592
755,467
756,583
757,592
758,467
759,583
760,583
761,799
762,195
763,459
764,583
765,583
766,195
767,467
768,459
769,195
770,467
771,592
772,799
773,592
774,467
775,195
776,195
777,467
778,583
779,467
780,799
781,583
782,799
783,467
784,799
785,592
786,195
787,583
788,799
789,195
790,799
791,799
792,592
793,583
794,583
795,583
796,799
797,799
798,459
799,799
800,799
801,459
802,583
803,195
804,583
805,195
806,459
807,799
808,799
809,467
810,799
811,583
812,195
813,799
814,459
815,467
816,583
817,459
818,592
819,799
820,592
821,592
822,467
823,583
824,195
825,592
826,592
827,459
828,583
829,583
830,195
831,799
832,583
833,459
834,459
835,195
836,459
837,195
838,583
839,592
840,592
841,799
842,583
843,583
844,195
845,799
846,583
847,799
848,467
849,467
850,592
851,583
852,467
853,592
854,459
855,583
856,195
857,799
858,583
859,459
860,467
861,195
862,799
863,467
864,195
865,195
866,467
867,799
868,592
869,592
870,799
871,583
872,583
873,583
874,592
875,195
876,592
877,799
878,459
879,459
880,467
881,592
882,583
883,467
884,592
885,195
886,583
887,467
888,583
889,799
890,195
891,195
892,195
893,799
894,592
895,195
896,459
