m = 1000;
n = 5;
k = 6;

A = 
[[0.051 0.073 0.528 0.885 0.228]
 [0.08  0.076 0.541 0.861 0.266]
 [0.226 0.215 0.217 0.146 0.427]
 [0.796 0.046 0.331 0.07  0.13 ]
 [0.065 0.064 0.531 0.892 0.246]
 [0.363 0.661 0.703 0.931 0.36 ]
 [0.748 0.078 0.34  0.094 0.106]
 [0.269 0.689 0.266 0.346 0.964]
 [0.247 0.207 0.223 0.217 0.454]
 [0.809 0.038 0.294 0.009 0.153]
 [0.272 0.668 0.045 0.301 0.858]
 [0.259 0.654 0.236 0.323 0.974]
 [0.24  0.186 0.021 0.211 0.374]
 [0.931 0.984 0.777 0.507 0.571]
 [0.262 0.717 0.172 0.294 0.877]
 [0.056 0.094 0.616 0.89  0.252]
 [0.241 0.198 0.124 0.215 0.404]
 [0.223 0.199 0.141 0.172 0.401]
 [0.919 0.922 0.861 0.479 0.641]
 [0.409 0.686 0.617 0.944 0.415]
 [0.247 0.719 0.246 0.338 0.895]
 [0.36  0.685 0.61  0.969 0.373]
 [0.254 0.68  0.245 0.305 0.888]
 [0.35  0.648 0.65  0.94  0.387]
 [0.062 0.093 0.582 0.869 0.249]
 [0.358 0.631 0.613 0.962 0.356]
 [0.261 0.656 0.133 0.35  0.884]
 [0.033 0.115 0.568 0.913 0.199]
 [0.081 0.05  0.556 0.861 0.274]
 [0.382 0.682 0.486 0.935 0.377]
 [0.088 0.11  0.585 0.844 0.234]
 [0.347 0.62  0.487 0.95  0.381]
 [0.936 0.933 0.841 0.43  0.618]
 [0.783 0.038 0.358 0.087 0.074]
 [0.39  0.648 0.733 0.882 0.396]
 [0.186 0.181 0.128 0.16  0.341]
 [0.19  0.739 0.248 0.329 0.893]
 [0.243 0.263 0.189 0.164 0.358]
 [0.237 0.201 0.108 0.203 0.382]
 [0.999 0.875 0.811 0.488 0.657]
 [0.189 0.205 0.089 0.209 0.404]
 [0.068 0.09  0.609 0.863 0.224]
 [0.949 0.902 0.808 0.469 0.574]
 [0.071 0.103 0.552 0.923 0.233]
 [0.375 0.599 0.616 0.941 0.399]
 [0.228 0.191 0.109 0.177 0.402]
 [0.056 0.083 0.575 0.916 0.204]
 [0.343 0.633 0.729 0.928 0.403]
 [0.927 0.924 0.939 0.49  0.545]
 [0.923 0.933 0.786 0.512 0.565]
 [0.748 0.068 0.416 0.07  0.079]
 [0.743 0.068 0.379 0.054 0.118]
 [0.928 0.948 0.9   0.48  0.587]
 [0.73  0.074 0.334 0.022 0.096]
 [0.954 0.901 0.923 0.451 0.626]
 [0.929 0.936 0.817 0.399 0.629]
 [0.758 0.107 0.278 0.048 0.144]
 [0.757 0.118 0.304 0.041 0.141]
 [0.753 0.051 0.361 0.076 0.136]
 [0.904 0.981 0.855 0.498 0.564]
 [0.917 0.963 0.809 0.461 0.566]
 [0.117 0.032 0.49  0.876 0.309]
 [0.742 0.063 0.293 0.06  0.066]
 [0.28  0.704 0.154 0.306 0.872]
 [0.803 0.095 0.272 0.096 0.126]
 [0.234 0.243 0.149 0.17  0.347]
 [0.245 0.707 0.22  0.297 0.89 ]
 [0.249 0.232 0.178 0.195 0.413]
 [0.254 0.695 0.182 0.335 0.875]
 [0.395 0.645 0.681 0.96  0.413]
 [0.3   0.697 0.255 0.354 0.901]
 [0.417 0.591 0.531 0.886 0.407]
 [0.245 0.717 0.242 0.372 0.9  ]
 [0.323 0.227 0.137 0.206 0.393]
 [0.223 0.249 0.105 0.196 0.39 ]
 [0.05  0.091 0.544 0.924 0.257]
 [0.377 0.655 0.65  0.951 0.355]
 [0.069 0.125 0.579 0.851 0.246]
 [0.316 0.615 0.685 0.934 0.327]
 [0.358 0.646 0.576 0.964 0.41 ]
 [0.712 0.122 0.326 0.034 0.157]
 [0.746 0.099 0.379 0.042 0.109]
 [0.112 0.093 0.58  0.922 0.323]
 [0.07  0.09  0.617 0.888 0.233]
 [0.06  0.072 0.45  0.914 0.202]
 [0.996 0.937 0.776 0.481 0.601]
 [0.256 0.222 0.144 0.126 0.408]
 [0.748 0.022 0.348 0.087 0.062]
 [0.072 0.036 0.62  0.9   0.274]
 [0.268 0.691 0.155 0.315 0.922]
 [0.26  0.223 0.115 0.197 0.398]
